#Wavelength (micron)	Flux (erg s-1 cm-2 micron-1)	 r2 F (cm2 erg s-1 cm-2 micron-1)
2.2191647064e+01	9.9456180794e+03	2.1043141935e+34
2.2147413182e+01	1.0015539513e+04	2.1191083133e+34
2.2103355289e+01	1.0108279024e+04	2.1387303285e+34
2.2058985728e+01	1.0180171420e+04	2.1539414686e+34
2.2015278603e+01	1.0281220604e+04	2.1753216614e+34
2.1971261590e+01	1.0374352769e+04	2.1950267551e+34
2.1927420239e+01	1.0453975137e+04	2.2118734184e+34
2.1883753501e+01	1.0512570780e+04	2.2242712043e+34
2.1839783349e+01	1.0616801448e+04	2.2463245420e+34
2.1796464613e+01	1.0692999692e+04	2.2624467222e+34
2.1752844184e+01	1.0762394945e+04	2.2771295116e+34
2.1709397998e+01	1.0873231732e+04	2.3005805853e+34
2.1666125014e+01	1.0951224948e+04	2.3170825493e+34
2.1623024196e+01	1.1046340803e+04	2.3372073563e+34
2.1579628830e+01	1.1115200092e+04	2.3517767453e+34
2.1536407297e+01	1.1229011060e+04	2.3758571025e+34
2.1493820527e+01	1.1385217887e+04	2.4089076620e+34
2.1450941696e+01	1.1408832204e+04	2.4139040275e+34
2.1407775304e+01	1.1526055707e+04	2.4387064158e+34
2.1365238757e+01	1.1605927752e+04	2.4556059062e+34
2.1322416256e+01	1.1671354343e+04	2.4694489981e+34
2.1279765071e+01	1.1795995993e+04	2.4958209330e+34
2.1237284176e+01	1.1880298466e+04	2.5136578225e+34
2.1194972553e+01	1.1991976176e+04	2.5372868206e+34
2.1152829191e+01	1.2074111334e+04	2.5546651451e+34
2.1110407431e+01	1.2181629423e+04	2.5774140421e+34
2.1068599360e+01	1.2254686475e+04	2.5928716023e+34
2.1026514435e+01	1.2369089342e+04	2.6170771948e+34
2.0984597306e+01	1.2480888309e+04	2.6407318486e+34
2.0942408377e+01	1.2565313913e+04	2.6585947904e+34
2.0900825583e+01	1.2643378601e+04	2.6751118766e+34
2.0858972487e+01	1.2738009833e+04	2.6951341460e+34
2.0817286675e+01	1.2875348597e+04	2.7241925623e+34
2.0775767145e+01	1.2994570849e+04	2.7494178500e+34
2.0734412905e+01	1.3087922639e+04	2.7691694125e+34
2.0692794769e+01	1.3186538523e+04	2.7900347626e+34
2.0651769857e+01	1.3411726788e+04	2.8376805559e+34
2.0610482491e+01	1.3374637525e+04	2.8298331339e+34
2.0569359882e+01	1.3543433119e+04	2.8655472505e+34
2.0528401043e+01	1.3622899610e+04	2.8823609329e+34
2.0487185266e+01	1.3729022835e+04	2.9048147018e+34
2.0446552711e+01	1.3836439999e+04	2.9275422448e+34
2.0405664612e+01	1.3982429111e+04	2.9584309195e+34
2.0364939720e+01	1.4125304966e+04	2.9886608847e+34
2.0324377058e+01	1.4195797586e+04	3.0035758573e+34
2.0283564228e+01	1.4382491192e+04	3.0430768719e+34
2.0243324764e+01	1.4448967294e+04	3.0571420214e+34
2.0202836478e+01	1.4506036092e+04	3.0692167543e+34
2.0162509829e+01	1.4618974748e+04	3.0931125459e+34
2.0122343851e+01	1.4763661259e+04	3.1237256134e+34
2.0081934292e+01	1.4944626382e+04	3.1620145840e+34
2.0042088386e+01	1.5048166121e+04	3.1839217334e+34
