#Wavelength (micron)	Flux (erg s-1 cm-2 micron-1)	 r2 F (cm2 erg s-1 cm-2 micron-1)
4.2843065850e+01	1.5326951007e+02	5.2127693329e+32
4.2800890259e+01	2.1248221318e+02	7.2266216819e+32
4.2756969386e+01	1.5555201310e+02	5.2903983524e+32
4.2714963052e+01	1.4536599628e+02	4.9439670494e+32
4.2673039174e+01	1.5477086546e+02	5.2638311475e+32
4.2629380169e+01	1.5067953859e+02	5.1246831642e+32
4.2587624036e+01	1.5668598183e+02	5.3289651712e+32
4.2544139545e+01	1.6390453836e+02	5.5744717308e+32
4.2502550153e+01	1.5754932122e+02	5.3583277566e+32
4.2459239130e+01	1.5610209640e+02	5.3091069485e+32
4.2417815483e+01	1.5946403978e+02	5.4234482507e+32
4.2374676893e+01	1.4853613788e+02	5.0517850813e+32
4.2331625958e+01	1.5431901146e+02	5.2484633771e+32
4.2290450816e+01	1.5848543375e+02	5.3901653914e+32
4.2247570765e+01	1.6922246835e+02	5.7553370729e+32
4.2204777581e+01	1.6452332234e+02	5.5955168699e+32
4.2163848716e+01	1.6416172671e+02	5.5832188294e+32
4.2121224885e+01	1.9685803434e+02	6.6952358879e+32
4.2078687145e+01	2.0067291740e+02	6.8249818852e+32
4.2038002354e+01	1.8744255847e+02	6.3750110510e+32
4.1995632454e+01	1.7058115652e+02	5.8015467072e+32
4.1953347877e+01	1.6706806157e+02	5.6820646680e+32
4.1911148365e+01	1.6475188226e+02	5.6032903022e+32
4.1869033663e+01	1.7250926244e+02	5.8671225118e+32
4.1827003513e+01	1.6366245023e+02	5.5662381978e+32
4.1785057663e+01	1.8137963308e+02	6.1688080592e+32
4.1744938426e+01	1.6974858325e+02	5.7732304924e+32
4.1703156929e+01	1.6729223665e+02	5.6896889696e+32
4.1661458984e+01	1.7577858261e+02	5.9783136541e+32
4.1619844342e+01	1.8365471780e+02	6.2461847783e+32
4.1578312752e+01	1.7365993300e+02	5.9062573677e+32
4.1536863967e+01	1.7094684092e+02	5.8139838086e+32
4.1493775934e+01	1.7046765592e+02	5.7976864975e+32
4.1452495440e+01	1.8867096332e+02	6.4167896873e+32
4.1411297002e+01	1.7248602362e+02	5.8663321484e+32
4.1370180374e+01	1.8015156557e+02	6.1270408959e+32
4.1329145313e+01	2.0548688390e+02	6.9887071879e+32
4.1288191577e+01	1.7840117979e+02	6.0675094384e+32
4.1247318924e+01	1.8502810045e+02	6.2928941791e+32
4.1204829206e+01	1.9988717490e+02	6.7982584067e+32
4.1164121352e+01	1.7648466555e+02	6.0023278724e+32
4.1123493852e+01	1.7925380188e+02	6.0965075235e+32
4.1081258730e+01	1.7117197200e+02	5.8216406244e+32
4.1040794550e+01	1.8504521658e+02	6.2934763068e+32
4.1000410004e+01	1.8407185033e+02	6.2603716551e+32
4.0958427196e+01	1.7469242462e+02	5.9413729014e+32
4.0918204509e+01	1.9803973359e+02	6.7354260443e+32
4.0876389797e+01	1.7710309775e+02	6.0233610475e+32
4.0836327997e+01	1.8285730655e+02	6.2190644405e+32
4.0794680374e+01	1.9351145105e+02	6.5814169897e+32
4.0754778498e+01	1.8074253728e+02	6.1471401264e+32
4.0713296963e+01	1.8345980509e+02	6.2395557037e+32
4.0673554055e+01	1.8339179717e+02	6.2372427220e+32
4.0632237617e+01	1.9443791024e+02	6.6129263099e+32
4.0592652730e+01	2.2088004820e+02	7.5122360668e+32
4.0551500406e+01	1.9188869974e+02	6.5262264416e+32
4.0510431436e+01	1.9001088594e+02	6.4623610965e+32
4.0471083411e+01	1.9718549704e+02	6.7063730510e+32
4.0430177084e+01	1.8644543708e+02	6.3410984755e+32
4.0389353366e+01	1.9014853999e+02	6.4670427765e+32
4.0348612008e+01	1.8797084122e+02	6.3929782000e+32
4.0309577556e+01	1.9543066289e+02	6.6466903022e+32
4.0268996899e+01	2.0141315857e+02	6.8501578414e+32
4.0228497868e+01	1.9267089598e+02	6.5528293098e+32
4.0188080215e+01	2.0534836343e+02	6.9839960404e+32
4.0147743697e+01	1.9531838156e+02	6.6428715607e+32
4.0107488068e+01	1.9843066051e+02	6.7487216560e+32
4.0067313086e+01	2.1289803874e+02	7.2407641081e+32
4.0028820751e+01	2.0010068600e+02	6.8055200217e+32
3.9988803135e+01	2.0631916535e+02	7.0170134778e+32
3.9948865452e+01	1.9873728450e+02	6.7591500846e+32
3.9909007463e+01	2.2353663306e+02	7.6025877884e+32
3.9867639437e+01	1.9908200180e+02	6.7708740848e+32
3.9827943285e+01	2.0211934066e+02	6.8741754319e+32
3.9788326105e+01	1.9741664170e+02	6.7142343913e+32
3.9748787662e+01	2.1346672115e+02	7.2601052688e+32
3.9709327721e+01	2.1309645068e+02	7.2475121929e+32
3.9669946049e+01	2.1151648925e+02	7.1937769491e+32
3.9630642413e+01	2.0118767129e+02	6.8424889109e+32
3.9589849163e+01	2.1342457977e+02	7.2586720202e+32
3.9550704003e+01	2.0353820157e+02	6.9224315699e+32
3.9511636177e+01	2.0674340804e+02	7.0314421746e+32
3.9471087428e+01	2.1367834497e+02	7.2673026960e+32
3.9432176656e+01	2.0927719116e+02	7.1176173504e+32
3.9393342525e+01	2.2040708915e+02	7.4961505034e+32
3.9353036087e+01	2.5493289082e+02	8.6703895287e+32
3.9314357603e+01	2.1579382715e+02	7.3392512568e+32
3.9275755076e+01	2.1962733152e+02	7.4696305736e+32
3.9235688783e+01	2.0968113726e+02	7.1313557502e+32
3.9197240514e+01	2.1667547490e+02	7.3692365181e+32
3.9157334169e+01	2.1775839558e+02	7.4060671686e+32
3.9119039236e+01	2.1551991890e+02	7.3299355063e+32
3.9079291883e+01	2.2903778764e+02	7.7896846865e+32
3.9039625220e+01	2.3907174306e+02	8.1309443086e+32
3.9001560062e+01	2.1594391071e+02	7.3443556704e+32
3.8962050962e+01	2.1829247845e+02	7.4242315823e+32
3.8922621828e+01	2.4656278839e+02	8.3857183425e+32
3.8884784384e+01	2.3168012370e+02	7.8795517994e+32
3.8845511401e+01	2.3150142310e+02	7.8734741064e+32
3.8806317669e+01	2.3768915659e+02	8.0839218814e+32
3.8768705901e+01	2.3659045833e+02	8.0465546284e+32
3.8729666925e+01	2.4285748900e+02	8.2596993385e+32
3.8690706492e+01	2.3102912735e+02	7.8574111022e+32
3.8651824366e+01	2.2655870330e+02	7.7053698424e+32
3.8613020310e+01	2.3843416072e+02	8.1092598282e+32
3.8574294090e+01	2.3508348503e+02	7.9953017457e+32
3.8535645472e+01	2.4393163894e+02	8.2962316914e+32
3.8497074222e+01	2.4995363496e+02	8.5010426561e+32
3.8458580109e+01	2.4492006974e+02	8.3298486958e+32
3.8420162901e+01	2.3375352141e+02	7.9500690471e+32
3.8381822369e+01	2.4098800827e+02	8.1961174047e+32
3.8343558282e+01	2.3260248324e+02	7.9109216885e+32
3.8305370413e+01	2.4080108878e+02	8.1897601834e+32
3.8267258534e+01	2.3858379909e+02	8.1143491008e+32
3.8229222418e+01	2.4742165714e+02	8.4149288793e+32
3.8191261839e+01	2.4837120678e+02	8.4472235167e+32
3.8153376574e+01	2.4637625798e+02	8.3793743539e+32
3.8115566397e+01	2.6539269437e+02	9.0261324495e+32
3.8076381221e+01	2.4030717132e+02	8.1729618146e+32
3.8038723420e+01	2.5378354682e+02	8.6312997897e+32
3.8001140034e+01	2.4210735988e+02	8.2341870883e+32
3.7962189659e+01	2.5122929921e+02	8.5444286072e+32
3.7924757282e+01	2.4470795266e+02	8.3226344924e+32
3.7887398651e+01	2.4103042839e+02	8.1975601333e+32
3.7848680973e+01	2.4061979477e+02	8.1835942875e+32
3.7811472001e+01	2.5014110255e+02	8.5074185185e+32
3.7772909269e+01	2.6875563481e+02	9.1405076621e+32
3.7735849057e+01	2.5090396137e+02	8.5333637117e+32
3.7697440344e+01	2.5927841308e+02	8.8181828190e+32
3.7660528001e+01	2.6075136769e+02	8.8682787096e+32
3.7622272385e+01	2.6404877974e+02	8.9804252703e+32
3.7585507028e+01	2.6652441943e+02	9.0646229600e+32
3.7547403597e+01	2.5782656983e+02	8.7688049359e+32
3.7510784351e+01	2.5968039698e+02	8.8318544838e+32
3.7472832197e+01	2.6478980383e+02	9.0056278541e+32
3.7434956763e+01	2.7599635466e+02	9.3867680067e+32
3.7398556416e+01	2.6870655005e+02	9.1388382660e+32
3.7360830905e+01	2.7192516869e+02	9.2483050250e+32
3.7323181428e+01	2.6619343678e+02	9.0533660819e+32
3.7285607755e+01	2.7138825915e+02	9.2300444749e+32
3.7248109658e+01	2.6698628138e+02	9.0803311058e+32
3.7212071596e+01	2.6889876601e+02	9.1453756228e+32
3.7174721190e+01	2.8852838528e+02	9.8129883613e+32
3.7137445686e+01	2.8492355608e+02	9.6903863965e+32
3.7100244862e+01	2.8707292931e+02	9.7634876077e+32
3.7063118491e+01	3.1595558083e+02	1.0745800398e+33
3.7026066351e+01	2.6876190005e+02	9.1407207459e+32
3.6989088219e+01	2.9625375767e+02	1.0075731971e+33
3.6952183874e+01	2.8180060263e+02	9.5841732559e+32
3.6915353095e+01	2.7191430137e+02	9.2479354225e+32
3.6878595663e+01	2.8627832068e+02	9.7364625883e+32
3.6841911358e+01	3.0197045532e+02	1.0270159591e+33
3.6803945383e+01	2.9824713027e+02	1.0143527526e+33
3.6767409368e+01	2.8593382519e+02	9.7247461320e+32
3.6730945822e+01	2.8449367292e+02	9.6757658646e+32
3.6694554528e+01	2.8204862225e+02	9.5926085218e+32
3.6658235273e+01	2.8930551028e+02	9.8394187542e+32
3.6620646721e+01	2.9496543558e+02	1.0031915520e+33
3.6584473549e+01	2.8221610240e+02	9.5983046020e+32
3.6548371770e+01	3.0124708463e+02	1.0245557408e+33
3.6511008069e+01	3.1585251352e+02	1.0742295029e+33
3.6475051065e+01	2.9824252812e+02	1.0143371005e+33
3.6439164814e+01	2.9859142310e+02	1.0155237090e+33
3.6402023953e+01	2.9119130175e+02	9.9035554239e+32
3.6366281184e+01	2.9007039719e+02	9.8654329239e+32
3.6329288673e+01	2.9673588329e+02	1.0092129294e+33
3.6293688528e+01	3.0245794148e+02	1.0286739229e+33
3.6256843479e+01	3.0152936422e+02	1.0255157872e+33
3.6220073165e+01	3.0679649125e+02	1.0434295381e+33
3.6184686641e+01	3.1678325858e+02	1.0773950114e+33
3.6148062464e+01	2.9386335831e+02	9.9944333454e+32
3.6112816439e+01	3.0362825033e+02	1.0326541993e+33
3.6076337530e+01	3.0397141029e+02	1.0338213027e+33
3.6039932245e+01	3.0805208918e+02	1.0476998867e+33
3.6003600360e+01	3.0247816530e+02	1.0287427051e+33
3.5968635350e+01	3.0370081887e+02	1.0329010083e+33
3.5932447000e+01	3.3240927726e+02	1.1305398482e+33
3.5896331395e+01	3.1150834312e+02	1.0594547717e+33
3.5860288317e+01	3.0939934335e+02	1.0522819626e+33
3.5824317547e+01	3.0995516158e+02	1.0541723270e+33
3.5788418868e+01	3.2035660819e+02	1.0895481443e+33
3.5752592063e+01	3.2978946331e+02	1.1216297357e+33
3.5716836917e+01	3.1939985194e+02	1.0862941706e+33
3.5681153215e+01	3.2965028348e+02	1.1211563784e+33
3.5645540743e+01	3.1924897146e+02	1.0857810188e+33
3.5609999288e+01	3.4424240227e+02	1.1707848722e+33
3.5574528637e+01	3.2546767743e+02	1.1069311352e+33
3.5539128581e+01	3.2209674966e+02	1.0954664487e+33
3.5503798906e+01	3.1446151443e+02	1.0694986485e+33
3.5468539406e+01	3.2366789781e+02	1.1008099986e+33
3.5433349869e+01	3.3274933767e+02	1.1316964099e+33
3.5396977098e+01	3.4686213796e+02	1.1796947186e+33
3.5361929347e+01	3.2984256679e+02	1.1218103431e+33
3.5326950931e+01	3.3809866087e+02	1.1498897139e+33
3.5292041645e+01	3.4827261169e+02	1.1844918072e+33
3.5255958257e+01	3.6157181946e+02	1.2297230488e+33
3.5221189067e+01	3.3475483020e+02	1.1385171859e+33
3.5186488388e+01	3.4790105649e+02	1.1832281302e+33
3.5150620408e+01	3.3130929843e+02	1.1267987676e+33
3.5116058574e+01	3.4688111457e+02	1.1797592589e+33
3.5080333965e+01	3.3424925777e+02	1.1367977099e+33
3.5045910142e+01	3.4280090029e+02	1.1658822550e+33
3.5010328047e+01	3.5478261443e+02	1.2066326378e+33
3.4976041412e+01	3.4936838583e+02	1.1882185874e+33
3.4940600978e+01	3.4074924202e+02	1.1589044672e+33
3.4905232294e+01	3.7376844326e+02	1.2712043496e+33
3.4871151097e+01	3.4746847091e+02	1.1817568859e+33
3.4835922804e+01	3.4239810798e+02	1.1645123391e+33
3.4800765617e+01	3.6151269687e+02	1.2295219700e+33
3.4766888016e+01	3.6123427042e+02	1.2285750284e+33
3.4731869964e+01	3.5990776414e+02	1.2240635171e+33
3.4696922383e+01	3.5509501239e+02	1.2076951182e+33
3.4662045061e+01	3.5349438078e+02	1.2022512936e+33
3.4627237785e+01	3.6253194744e+02	1.2329884900e+33
3.4592500346e+01	3.8025302389e+02	1.2932587184e+33
3.4559026818e+01	3.7143362130e+02	1.2632635085e+33
3.4524426031e+01	3.7703668916e+02	1.2823198102e+33
3.4489894461e+01	3.5942698658e+02	1.2224283696e+33
3.4455431899e+01	3.6190023893e+02	1.2308400191e+33
3.4421038139e+01	3.7935717346e+02	1.2902118883e+33
3.4386712974e+01	3.6711453960e+02	1.2485741051e+33
3.4352456201e+01	3.9047891978e+02	1.3280374794e+33
3.4317089911e+01	3.7083555007e+02	1.2612294396e+33
3.4282971648e+01	3.9176228182e+02	1.3324022550e+33
3.4248921159e+01	3.7554703058e+02	1.2772534101e+33
3.4214938242e+01	4.0869870476e+02	1.3900038394e+33
3.4181022696e+01	3.7843962971e+02	1.2870912781e+33
3.4146008332e+01	3.7458407687e+02	1.2739783585e+33
3.4112229234e+01	3.7924688334e+02	1.2898367863e+33
3.4078516903e+01	3.8673624001e+02	1.3153084465e+33
3.4043712126e+01	3.9563462920e+02	1.3455722937e+33
3.4010135020e+01	4.0471436085e+02	1.3764528952e+33
